,Run,Generation,F,CR,G,NP,NPI,mutation_type,lowerF,upperF,tol,F_delta,init,refine_param,F_refine,mutation_refine,lowerCR,upperCR,CR_refine,CR_delta,residual,run_avg_residual,track_len,return_method,mutation_type_,error_metric,run_enh,current,i_accept,TrainMin,exh,val_sample,clustering_score,local_score,svd_value,s_scalar_value,s_exp_value,Exit,StagnationPerc,MeanStagLen
0,0,0,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,0.0,0.0,2,standard,random,rmsle,"(True, True, True)",0,1,312208.08819626184,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
0,0,1,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,-233862.86251659866,-116931.43125829933,2,standard,random,rmsle,"(True, True, True)",0,1,78345.22567966318,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
0,0,2,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,0.0,-116931.43125829933,2,standard,random,rmsle,"(True, True, True)",0,1,78345.22567966318,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
0,0,3,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,0.0,0.0,2,standard,random,rmsle,"(True, True, True)",0,1,78345.22567966318,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
0,0,4,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,0.0,0.0,2,standard,random,rmsle,"(True, True, True)",1,1,78345.22567966318,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
0,0,5,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,0.0,0.0,2,standard,random,rmsle,"(True, True, True)",2,1,78345.22567966318,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
0,0,6,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,0.0,0.0,2,standard,random,rmsle,"(True, True, True)",3,1,78345.22567966318,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
0,0,7,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,0.0,0.0,2,standard,random,rmsle,"(True, True, True)",4,1,78345.22567966318,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
0,0,8,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,0.0,0.0,2,standard,random,rmsle,"(True, True, True)",5,1,78345.22567966318,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
0,0,9,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,0.0,0.0,2,standard,random,rmsle,"(True, True, True)",6,1,78345.22567966318,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
0,0,10,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,0.0,0.0,2,standard,random,rmsle,"(True, True, True)",7,1,78345.22567966318,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
0,0,11,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,0.0,0.0,2,standard,random,rmsle,"(True, True, True)",8,1,78345.22567966318,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
0,0,12,0.9,0.7,4000,16,16,random,0.1,0.9,-0.001,0.01,"('latin', None, 10)","(10, 10, 10, True)",random,random,0.1,0.9,random,0.1,0.0,0.0,2,standard,random,rmsle,"(True, True, True)",9,1,78345.22567966318,"(False, 20, 6)",4,0.0,0.0,0.0,0,0,False,0.9705,10.630434782608695
